40,40,40,40,40,40,46,46,46,40,40,40,20,1
40,40,40,40,40,40,40,40,40,50,50,50,55,2
40,40,40,40,40,40,40,40,40,34,34,34,14,1
50,50,50,40,40,40,46,46,46,40,40,40,64,1
30,30,30,40,40,40,30,30,30,40,40,40,1,2
40,40,40,30,30,30,40,40,40,42,42,42,40,2
40,40,40,40,40,40,40,40,40,30,30,30,12,1
40,40,40,40,40,40,38,38,38,40,40,40,16,2
40,40,40,40,40,40,40,40,40,50,50,50,22,2
40,40,40,40,40,40,40,40,40,40,40,40,50,2
40,40,40,40,40,40,40,40,40,32,32,32,46,1
30,30,30,40,40,40,36,36,36,40,40,40,4,2
40,40,40,40,40,40,48,48,48,40,40,40,54,1
50,50,50,40,40,40,48,48,48,40,40,40,65,1
30,30,30,40,40,40,42,42,42,40,40,40,7,1
40,40,40,30,30,30,40,40,40,34,34,34,3,1
40,40,40,50,50,50,40,40,40,32,32,32,24,1
40,40,40,50,50,50,40,40,40,40,40,40,28,2
40,40,40,40,40,40,38,38,38,40,40,40,49,2
40,40,40,50,50,50,40,40,40,42,42,42,29,2
30,30,30,40,40,40,44,44,44,40,40,40,8,1
40,40,40,30,30,30,40,40,40,30,30,30,34,1
30,30,30,40,40,40,40,40,40,40,40,40,6,1
30,30,30,40,40,40,38,38,38,40,40,40,5,2
40,40,40,40,40,40,40,40,40,44,44,44,19,2
40,40,40,40,40,40,40,40,40,42,42,42,51,2
40,40,40,30,30,30,40,40,40,32,32,32,2,1
40,40,40,30,30,30,40,40,40,32,32,32,35,1
40,40,40,30,30,30,40,40,40,44,44,44,41,2
50,50,50,40,40,40,44,44,44,40,40,40,30,1
50,50,50,40,40,40,30,30,30,40,40,40,56,2
40,40,40,40,40,40,36,36,36,40,40,40,48,2
40,40,40,40,40,40,48,48,48,40,40,40,21,1
40,40,40,40,40,40,44,44,44,40,40,40,52,1
50,50,50,40,40,40,48,48,48,40,40,40,32,1
50,50,50,40,40,40,46,46,46,40,40,40,31,1
30,30,30,40,40,40,36,36,36,40,40,40,37,2
40,40,40,30,30,30,40,40,40,48,48,48,10,2
40,40,40,40,40,40,40,40,40,30,30,30,45,1
40,40,40,30,30,30,40,40,40,46,46,46,9,2
40,40,40,50,50,50,40,40,40,42,42,42,62,2
40,40,40,50,50,50,40,40,40,38,38,38,60,1
30,30,30,40,40,40,34,34,34,40,40,40,36,2
50,50,50,40,40,40,30,30,30,40,40,40,23,2
40,40,40,40,40,40,40,40,40,40,40,40,17,1
40,40,40,50,50,50,40,40,40,36,36,36,26,1
40,40,40,50,50,50,40,40,40,40,40,40,61,2
50,50,50,40,40,40,34,34,34,40,40,40,58,2
40,40,40,50,50,50,40,40,40,50,50,50,66,2
40,40,40,40,40,40,40,40,40,36,36,36,15,1
30,30,30,40,40,40,48,48,48,40,40,40,43,1
40,40,40,50,50,50,40,40,40,38,38,38,27,1
30,30,30,40,40,40,40,40,40,40,40,40,39,1
40,40,40,30,30,30,40,40,40,50,50,50,44,2
50,50,50,40,40,40,44,44,44,40,40,40,63,1
40,40,40,40,40,40,32,32,32,40,40,40,13,2
50,50,50,40,40,40,50,50,50,40,40,40,33,1
40,40,40,40,40,40,34,34,34,40,40,40,47,2
30,30,30,40,40,40,50,50,50,40,40,40,11,1
30,30,30,40,40,40,46,46,46,40,40,40,42,1
40,40,40,50,50,50,40,40,40,34,34,34,25,1
40,40,40,50,50,50,40,40,40,36,36,36,59,1
50,50,50,40,40,40,32,32,32,40,40,40,57,2
40,40,40,30,30,30,40,40,40,38,38,38,38,1
40,40,40,40,40,40,40,40,40,42,42,42,18,2
40,40,40,40,40,40,46,46,46,40,40,40,53,1
