113,112,109,113,112,109,120,119,116,113,112,109,20,1
113,112,109,113,112,109,113,112,109,125,123,121,55,2
113,112,109,113,112,109,113,112,109,105,104,101,14,1
125,123,121,113,112,109,120,119,116,113,112,109,64,1
99,98,95,113,112,109,99,98,95,113,112,109,1,2
113,112,109,99,98,95,113,112,109,115,114,111,40,2
113,112,109,113,112,109,113,112,109,99,98,95,12,1
113,112,109,113,112,109,110,109,106,113,112,109,16,2
113,112,109,113,112,109,113,112,109,125,123,121,22,2
113,112,109,113,112,109,113,112,109,113,112,109,50,2
113,112,109,113,112,109,113,112,109,102,101,98,46,1
99,98,95,113,112,109,108,106,104,113,112,109,4,2
113,112,109,113,112,109,122,121,118,113,112,109,54,1
125,123,121,113,112,109,122,121,118,113,112,109,65,1
99,98,95,113,112,109,115,114,111,113,112,109,7,1
113,112,109,99,98,95,113,112,109,105,104,101,3,1
113,112,109,125,123,121,113,112,109,102,101,98,24,1
113,112,109,125,123,121,113,112,109,113,112,109,28,2
113,112,109,113,112,109,110,109,106,113,112,109,49,2
113,112,109,125,123,121,113,112,109,115,114,111,29,2
99,98,95,113,112,109,118,116,114,113,112,109,8,1
113,112,109,99,98,95,113,112,109,99,98,95,34,1
99,98,95,113,112,109,113,112,109,113,112,109,6,1
99,98,95,113,112,109,110,109,106,113,112,109,5,2
113,112,109,113,112,109,113,112,109,118,116,114,19,2
113,112,109,113,112,109,113,112,109,115,114,111,51,2
113,112,109,99,98,95,113,112,109,102,101,98,2,1
113,112,109,99,98,95,113,112,109,102,101,98,35,1
113,112,109,99,98,95,113,112,109,118,116,114,41,2
125,123,121,113,112,109,118,116,114,113,112,109,30,1
125,123,121,113,112,109,99,98,95,113,112,109,56,2
113,112,109,113,112,109,108,106,104,113,112,109,48,2
113,112,109,113,112,109,122,121,118,113,112,109,21,1
113,112,109,113,112,109,118,116,114,113,112,109,52,1
125,123,121,113,112,109,122,121,118,113,112,109,32,1
125,123,121,113,112,109,120,119,116,113,112,109,31,1
99,98,95,113,112,109,108,106,104,113,112,109,37,2
113,112,109,99,98,95,113,112,109,122,121,118,10,2
113,112,109,113,112,109,113,112,109,99,98,95,45,1
113,112,109,99,98,95,113,112,109,120,119,116,9,2
113,112,109,125,123,121,113,112,109,115,114,111,62,2
113,112,109,125,123,121,113,112,109,110,109,106,60,1
99,98,95,113,112,109,105,104,101,113,112,109,36,2
125,123,121,113,112,109,99,98,95,113,112,109,23,2
113,112,109,113,112,109,113,112,109,113,112,109,17,1
113,112,109,125,123,121,113,112,109,108,106,104,26,1
113,112,109,125,123,121,113,112,109,113,112,109,61,2
125,123,121,113,112,109,105,104,101,113,112,109,58,2
113,112,109,125,123,121,113,112,109,125,123,121,66,2
113,112,109,113,112,109,113,112,109,108,106,104,15,1
99,98,95,113,112,109,122,121,118,113,112,109,43,1
113,112,109,125,123,121,113,112,109,110,109,106,27,1
99,98,95,113,112,109,113,112,109,113,112,109,39,1
113,112,109,99,98,95,113,112,109,125,123,121,44,2
125,123,121,113,112,109,118,116,114,113,112,109,63,1
113,112,109,113,112,109,102,101,98,113,112,109,13,2
125,123,121,113,112,109,125,123,121,113,112,109,33,1
113,112,109,113,112,109,105,104,101,113,112,109,47,2
99,98,95,113,112,109,125,123,121,113,112,109,11,1
99,98,95,113,112,109,120,119,116,113,112,109,42,1
113,112,109,125,123,121,113,112,109,105,104,101,25,1
113,112,109,125,123,121,113,112,109,108,106,104,59,1
125,123,121,113,112,109,102,101,98,113,112,109,57,2
113,112,109,99,98,95,113,112,109,110,109,106,38,1
113,112,109,113,112,109,113,112,109,115,114,111,18,2
113,112,109,113,112,109,120,119,116,113,112,109,53,1
