std_lightness	std_bkg_val	cmp_bkg_vals_bkg_90.0000	lightness_vals_bkg_90.0000	n_cmp_chsn_bkg_90.0000	n_trials_bkg_90.0000	cmp_bkg_vals_bkg_100.0000	lightness_vals_bkg_100.0000	n_cmp_chsn_bkg_100.0000	n_trials_bkg_100.0000	cmp_bkg_vals_bkg_110.0000	lightness_vals_bkg_110.0000	n_cmp_chsn_bkg_110.0000	n_trials_bkg_110.0000
100	100	90	90	9	30	100	90	2	30	110	90	1	30
100	100	90	92	12	30	100	92	4	30	110	92	2	30
100	100	90	94	12	30	100	94	6	30	110	94	2	30
100	100	90	96	15	30	100	96	8	30	110	96	3	30
100	100	90	98	20	30	100	98	12	30	110	98	4	30
100	100	90	100	22	30	100	100	16	30	110	100	7	30
100	100	90	102	23	30	100	102	16	30	110	102	8	30
100	100	90	104	24	30	100	104	18	30	110	104	12	30
100	100	90	106	25	30	100	106	21	30	110	106	12	30
100	100	90	108	26	30	100	108	23	30	110	108	18	30
100	100	90	110	28	30	100	110	24	30	110	110	20	30
