std_lightness	std_bkg_val	cmp_bkg_vals_bkg_90.0000	lightness_vals_bkg_90.0000	n_cmp_chsn_bkg_90.0000	n_trials_bkg_90.0000	cmp_bkg_vals_bkg_100.0000	lightness_vals_bkg_100.0000	n_cmp_chsn_bkg_100.0000	n_trials_bkg_100.0000	cmp_bkg_vals_bkg_110.0000	lightness_vals_bkg_110.0000	n_cmp_chsn_bkg_110.0000	n_trials_bkg_110.0000	n_cmp_chsn_bkg_90.0000_SEM	n_cmp_chsn_bkg_100.0000_SEM	n_cmp_chsn_bkg_110.0000_SEM	n_cmp_chsn_bkg_90.0000_original_mean	n_cmp_chsn_bkg_100.0000_original_mean	n_cmp_chsn_bkg_110.0000_original_mean
100.0000	100.0000	90.0000	90.0000	9	30	100.0000	90.0000	2	30	110.0000	90.0000	1	30	1.3271	0.4944	0.5426	9.1667	2.3333	0.8333
100.0000	100.0000	90.0000	92.0000	12	30	100.0000	92.0000	4	30	110.0000	92.0000	2	30	1.3017	0.7601	0.8333	12.1667	3.6667	1.8333
100.0000	100.0000	90.0000	94.0000	12	30	100.0000	94.0000	6	30	110.0000	94.0000	2	30	1.6003	0.8944	0.9220	12.1667	6.0000	2.5000
100.0000	100.0000	90.0000	96.0000	15	30	100.0000	96.0000	8	30	110.0000	96.0000	3	30	1.8151	0.9804	0.8819	14.8333	8.1667	3.3333
100.0000	100.0000	90.0000	98.0000	20	30	100.0000	98.0000	12	30	110.0000	98.0000	4	30	1.6482	0.8563	0.6540	19.5000	12.0000	4.1667
100.0000	100.0000	90.0000	100.0000	22	30	100.0000	100.0000	16	30	110.0000	100.0000	7	30	1.6279	1.0954	1.5366	21.5000	16.0000	7.1667
100.0000	100.0000	90.0000	102.0000	23	30	100.0000	102.0000	16	30	110.0000	102.0000	8	30	1.0138	1.2649	1.6667	23.1667	16.0000	7.6667
100.0000	100.0000	90.0000	104.0000	24	30	100.0000	104.0000	18	30	110.0000	104.0000	12	30	2.2620	1.3102	1.5366	24.5000	18.5000	11.8333
100.0000	100.0000	90.0000	106.0000	25	30	100.0000	106.0000	21	30	110.0000	106.0000	12	30	1.6465	0.8819	0.6146	24.6667	20.6667	11.6667
100.0000	100.0000	90.0000	108.0000	26	30	100.0000	108.0000	23	30	110.0000	108.0000	18	30	1.3354	0.9458	0.7188	25.5000	22.8333	17.5000
100.0000	100.0000	90.0000	110.0000	28	30	100.0000	110.0000	24	30	110.0000	110.0000	20	30	0.7188	0.8466	1.2315	27.5000	23.5000	19.5000
