125,123,121,113,112,109,110,109,106,113,112,109,60,2
113,112,109,125,123,121,113,112,109,102,101,98,24,1
113,112,109,113,112,109,113,112,109,125,123,121,55,2
113,112,109,113,112,109,122,121,118,113,112,109,54,1
113,112,109,113,112,109,105,104,101,113,112,109,47,2
113,112,109,113,112,109,99,98,95,113,112,109,12,2
99,98,95,113,112,109,120,119,116,113,112,109,9,1
113,112,109,99,98,95,113,112,109,118,116,114,8,2
113,112,109,113,112,109,105,104,101,113,112,109,14,2
113,112,109,99,98,95,113,112,109,102,101,98,2,1
113,112,109,125,123,121,113,112,109,118,116,114,63,2
113,112,109,125,123,121,113,112,109,120,119,116,31,2
113,112,109,99,98,95,113,112,109,125,123,121,44,2
113,112,109,113,112,109,113,112,109,108,106,104,48,1
113,112,109,99,98,95,113,112,109,110,109,106,5,1
113,112,109,125,123,121,113,112,109,122,121,118,32,2
99,98,95,113,112,109,122,121,118,113,112,109,43,1
113,112,109,113,112,109,113,112,109,102,101,98,13,1
113,112,109,113,112,109,115,114,111,113,112,109,18,1
125,123,121,113,112,109,125,123,121,113,112,109,66,1
113,112,109,113,112,109,113,112,109,99,98,95,45,1
113,112,109,113,112,109,118,116,114,113,112,109,19,1
99,98,95,113,112,109,105,104,101,113,112,109,3,2
99,98,95,113,112,109,108,106,104,113,112,109,4,2
113,112,109,99,98,95,113,112,109,99,98,95,1,1
113,112,109,113,112,109,113,112,109,113,112,109,50,2
125,123,121,113,112,109,102,101,98,113,112,109,57,2
113,112,109,99,98,95,113,112,109,115,114,111,7,2
125,123,121,113,112,109,113,112,109,113,112,109,61,1
99,98,95,113,112,109,122,121,118,113,112,109,10,1
113,112,109,113,112,109,113,112,109,102,101,98,46,1
113,112,109,99,98,95,113,112,109,115,114,111,40,2
113,112,109,125,123,121,113,112,109,99,98,95,23,1
113,112,109,99,98,95,113,112,109,120,119,116,42,2
113,112,109,113,112,109,122,121,118,113,112,109,21,1
113,112,109,113,112,109,113,112,109,120,119,116,53,2
99,98,95,113,112,109,108,106,104,113,112,109,37,2
113,112,109,125,123,121,113,112,109,99,98,95,56,1
113,112,109,125,123,121,113,112,109,110,109,106,27,1
125,123,121,113,112,109,115,114,111,113,112,109,62,1
113,112,109,113,112,109,113,112,109,125,123,121,22,2
99,98,95,113,112,109,113,112,109,113,112,109,39,1
113,112,109,113,112,109,113,112,109,120,119,116,20,2
113,112,109,99,98,95,113,112,109,99,98,95,34,1
125,123,121,113,112,109,105,104,101,113,112,109,25,2
125,123,121,113,112,109,118,116,114,113,112,109,30,1
125,123,121,113,112,109,122,121,118,113,112,109,65,1
113,112,109,113,112,109,113,112,109,113,112,109,17,1
99,98,95,113,112,109,105,104,101,113,112,109,36,2
113,112,109,113,112,109,110,109,106,113,112,109,49,2
113,112,109,125,123,121,113,112,109,108,106,104,59,1
125,123,121,113,112,109,113,112,109,113,112,109,28,1
113,112,109,113,112,109,113,112,109,110,109,106,16,1
113,112,109,99,98,95,113,112,109,125,123,121,11,2
113,112,109,125,123,121,113,112,109,120,119,116,64,2
113,112,109,99,98,95,113,112,109,110,109,106,38,1
99,98,95,113,112,109,118,116,114,113,112,109,41,1
99,98,95,113,112,109,102,101,98,113,112,109,35,2
125,123,121,113,112,109,108,106,104,113,112,109,26,2
113,112,109,125,123,121,113,112,109,105,104,101,58,1
113,112,109,125,123,121,113,112,109,115,114,111,29,2
113,112,109,113,112,109,118,116,114,113,112,109,52,1
99,98,95,113,112,109,113,112,109,113,112,109,6,1
113,112,109,113,112,109,108,106,104,113,112,109,15,2
113,112,109,113,112,109,115,114,111,113,112,109,51,1
125,123,121,113,112,109,125,123,121,113,112,109,33,1
