std_lightness	std_bkg_val	cmp_bkg_vals_bkg_30.0000	lightness_vals_bkg_30.0000	n_cmp_chsn_bkg_30.0000	n_trials_bkg_30.0000	cmp_bkg_vals_bkg_40.0000	lightness_vals_bkg_40.0000	n_cmp_chsn_bkg_40.0000	n_trials_bkg_40.0000	cmp_bkg_vals_bkg_50.0000	lightness_vals_bkg_50.0000	n_cmp_chsn_bkg_50.0000	n_trials_bkg_50.0000
40.0000	40.0000	30.0000	30.0000	5	180	40.0000	30.0000	2	180	50.0000	30.0000	17	180
40.0000	40.0000	30.0000	32.0000	24	180	40.0000	32.0000	5	180	50.0000	32.0000	20	180
40.0000	40.0000	30.0000	34.0000	59	180	40.0000	34.0000	12	180	50.0000	34.0000	23	180
40.0000	40.0000	30.0000	36.0000	100	180	40.0000	36.0000	21	180	50.0000	36.0000	19	180
40.0000	40.0000	30.0000	38.0000	97	180	40.0000	38.0000	33	180	50.0000	38.0000	35	180
40.0000	40.0000	30.0000	40.0000	143	180	40.0000	40.0000	103	180	50.0000	40.0000	41	180
40.0000	40.0000	30.0000	42.0000	143	180	40.0000	42.0000	104	180	50.0000	42.0000	59	180
40.0000	40.0000	30.0000	44.0000	155	180	40.0000	44.0000	137	180	50.0000	44.0000	97	180
40.0000	40.0000	30.0000	46.0000	160	180	40.0000	46.0000	164	180	50.0000	46.0000	106	180
40.0000	40.0000	30.0000	48.0000	165	180	40.0000	48.0000	166	180	50.0000	48.0000	136	180
40.0000	40.0000	30.0000	50.0000	170	180	40.0000	50.0000	177	180	50.0000	50.0000	149	180
