std_lightness	std_bkg_val	cmp_bkg_vals_bkg_60.0000	lightness_vals_bkg_60.0000	n_cmp_chsn_bkg_60.0000	n_trials_bkg_60.0000	cmp_bkg_vals_bkg_70.0000	lightness_vals_bkg_70.0000	n_cmp_chsn_bkg_70.0000	n_trials_bkg_70.0000	cmp_bkg_vals_bkg_80.0000	lightness_vals_bkg_80.0000	n_cmp_chsn_bkg_80.0000	n_trials_bkg_80.0000
70.0000	70.0000	60.0000	60.0000	34	180	70.0000	60.0000	7	180	80.0000	60.0000	2	180
70.0000	70.0000	60.0000	62.0000	56	180	70.0000	62.0000	12	180	80.0000	62.0000	4	180
70.0000	70.0000	60.0000	64.0000	87	180	70.0000	64.0000	25	180	80.0000	64.0000	7	180
70.0000	70.0000	60.0000	66.0000	124	180	70.0000	66.0000	38	180	80.0000	66.0000	13	180
70.0000	70.0000	60.0000	68.0000	132	180	70.0000	68.0000	67	180	80.0000	68.0000	17	180
70.0000	70.0000	60.0000	70.0000	145	180	70.0000	70.0000	76	180	80.0000	70.0000	37	180
70.0000	70.0000	60.0000	72.0000	146	180	70.0000	72.0000	125	180	80.0000	72.0000	40	180
70.0000	70.0000	60.0000	74.0000	162	180	70.0000	74.0000	127	180	80.0000	74.0000	71	180
70.0000	70.0000	60.0000	76.0000	161	180	70.0000	76.0000	148	180	80.0000	76.0000	100	180
70.0000	70.0000	60.0000	78.0000	170	180	70.0000	78.0000	158	180	80.0000	78.0000	105	180
70.0000	70.0000	60.0000	80.0000	175	180	70.0000	80.0000	166	180	80.0000	80.0000	114	180
