std_lightness	std_bkg_val	cmp_bkg_vals_bkg_30.0000	lightness_vals_bkg_30.0000	n_cmp_chsn_bkg_30.0000	n_trials_bkg_30.0000	cmp_bkg_vals_bkg_40.0000	lightness_vals_bkg_40.0000	n_cmp_chsn_bkg_40.0000	n_trials_bkg_40.0000	cmp_bkg_vals_bkg_50.0000	lightness_vals_bkg_50.0000	n_cmp_chsn_bkg_50.0000	n_trials_bkg_50.0000
40	40	30	30	1	30	40	30	0	30	50	30	3	30
40	40	30	32	4	30	40	32	1	30	50	32	3	30
40	40	30	34	10	30	40	34	2	30	50	34	4	30
40	40	30	36	17	30	40	36	4	30	50	36	3	30
40	40	30	38	16	30	40	38	6	30	50	38	6	30
40	40	30	40	24	30	40	40	17	30	50	40	7	30
40	40	30	42	24	30	40	42	17	30	50	42	10	30
40	40	30	44	26	30	40	44	23	30	50	44	16	30
40	40	30	46	27	30	40	46	27	30	50	46	18	30
40	40	30	48	28	30	40	48	28	30	50	48	23	30
40	40	30	50	28	30	40	50	30	30	50	50	25	30
