std_lightness	std_bkg_val	cmp_bkg_vals_bkg_60.0000	lightness_vals_bkg_60.0000	n_cmp_chsn_bkg_60.0000	n_trials_bkg_60.0000	cmp_bkg_vals_bkg_70.0000	lightness_vals_bkg_70.0000	n_cmp_chsn_bkg_70.0000	n_trials_bkg_70.0000	cmp_bkg_vals_bkg_80.0000	lightness_vals_bkg_80.0000	n_cmp_chsn_bkg_80.0000	n_trials_bkg_80.0000	n_cmp_chsn_bkg_60.0000_SEM	n_cmp_chsn_bkg_70.0000_SEM	n_cmp_chsn_bkg_80.0000_SEM	n_cmp_chsn_bkg_60.0000_original_mean	n_cmp_chsn_bkg_70.0000_original_mean	n_cmp_chsn_bkg_80.0000_original_mean
70.0000	70.0000	60.0000	60.0000	6	30	70.0000	60.0000	1	30	80.0000	60.0000	0	30	2.0763	0.3073	0.3333	5.6667	1.1667	0.3333
70.0000	70.0000	60.0000	62.0000	9	30	70.0000	62.0000	2	30	80.0000	62.0000	1	30	1.8915	0.8563	0.3333	9.3333	2.0000	0.6667
70.0000	70.0000	60.0000	64.0000	14	30	70.0000	64.0000	4	30	80.0000	64.0000	1	30	2.0125	1.3271	0.7923	14.5000	4.1667	1.1667
70.0000	70.0000	60.0000	66.0000	21	30	70.0000	66.0000	6	30	80.0000	66.0000	2	30	1.2019	0.9189	0.7923	20.6667	6.3333	2.1667
70.0000	70.0000	60.0000	68.0000	22	30	70.0000	68.0000	11	30	80.0000	68.0000	3	30	1.3904	0.8724	0.8333	22.0000	11.1667	2.8333
70.0000	70.0000	60.0000	70.0000	24	30	70.0000	70.0000	13	30	80.0000	70.0000	6	30	1.6210	0.5578	1.5147	24.1667	12.6667	6.1667
70.0000	70.0000	60.0000	72.0000	24	30	70.0000	72.0000	21	30	80.0000	72.0000	7	30	1.5635	1.1377	1.9090	24.3333	20.8333	6.6667
70.0000	70.0000	60.0000	74.0000	27	30	70.0000	74.0000	21	30	80.0000	74.0000	12	30	0.9661	1.6210	1.2758	27.0000	21.1667	11.8333
70.0000	70.0000	60.0000	76.0000	27	30	70.0000	76.0000	25	30	80.0000	76.0000	17	30	0.7923	0.8819	1.0541	26.8333	24.6667	16.6667
70.0000	70.0000	60.0000	78.0000	28	30	70.0000	78.0000	26	30	80.0000	78.0000	18	30	0.7149	1.2824	1.7654	28.3333	26.3333	17.5000
70.0000	70.0000	60.0000	80.0000	29	30	70.0000	80.0000	28	30	80.0000	80.0000	19	30	0.4014	0.4944	1.0328	29.1667	27.6667	19.0000
